,toxic,polite
0,я тебя найду тварь👹,я вас найду👹
1,"эта петрова либо пригожинская тролльчиха, либо одурманенная зомбоящиком обыватель.","эта петрова либо проплаченный комментатор, либо обыватель, введённая в заблуждение пропагандой."
2,пидормот . сиди и заткнись .,помолчите .
3,"бержись не дай этим дебилам,, раздолбать белоруссию и пусть тебе поможет бог","бержись не дай им,, разрушить белоруссию и пусть тебе поможет бог"
4,"я естественно не ваш, у меня пидоров знакомых никогда не было, бывай пидорок пригожинский-залупутинский","я естественно не ваш, у меня знакомых геев никогда не было, до свидания, проплаченный путинский комментатор"
5,расстрелять лошадь,убить ксению собчак
6,ПЕРЕСТАЛ БЫТЬ КУКОЛДОМ,ПЕРЕСТАЛ ТЕРПЕТЬ
7,а их пора в дурдом к дуракам в одну палату пристроить это их непосредственная профессия,а их пора госпитализировать в психиатрическую больницу это их непосредственная профессия
8,Кружевные трусики негигиеничны. Правильно их запретили.,Кружевные трусики негигиеничны. Правильно их запретили.
9,Родину? Боты ничего кроме подмены понятий не могу. Речь идет о неадеквате который запрещает всё и вся. Позже в Китае даже запретили фильм Кристофер Робин .,Родину? Проплаченные комментаторы могут только подменять понятия. Речь идет о необоснованных запретах всего и вся. Позже в Китае даже запретили фильм Кристофер Робин .
10,пидору - пидорове,кесарю - кесарево
11,пидорассссс....,плохой человек....
12,"этого скота взять и повесить вниз головой на площаде, где многолюдно,или посадить его до конца его жизни, за разжигание розни между народами. он своим поганым языком уже заработал несколько статей уголовного кодекса украины!!!!!","взять его и повесить вниз головой на площаде, где многолюдно,или посадить его до конца его жизни, за разжигание розни между народами. он своим языком уже заработал несколько статей уголовного кодекса украины!!!!!"
13,олеся был а сегодня в отсосала тебе то б я мы означает не я отсосала встречаемся сердцем ртом а не нихрена себе аргумент иdаргикоl ее,олеся был а сегодня в сделала тебе минет то б я мы означает не я сделала минет встречаемся сердцем ртом а не вот это аргумент иdаргикоl ее
14,да на хую я видал ваши танки люди ночами играют бабло платят за что чтоб их кинули нерфить танки это пиздец,меня не интересуют ваши танки люди ночами играют деньги платят за что чтоб их кинули нерфить танки это кошмар
15,"путина не любят иуды,быдло  пидары  ,либерасты, нацисты,хохлы и бандеровцы,! тут антипутинцев можно отнести к каждой категории! их каждого надо к стенке ставить без суда !именно такие поднки ,как они и скачут на майданах,подобных хохляцким, именно такие ,как они и уничтожают свои страны,подонки , я вам всем ​желаю жить в 90 -х!!! захлебнитесь в своём поскудстве!!!а мы выбирали,выбираем и будем выбирать пути на,несмотря на вашу злобу! вас всего 2 % ненавистников путина,так что или смиритесь ,или застрелитесь !мы не исправимся,а вас 100 % исправим!","путина не любят иуды,некультурные люди геи  ,либералы, нацисты и украинцы,! тут антипутинцев можно отнести к каждой категории! их каждого надо к стенке ставить без суда !именно такие люди ,как они и скачут на майданах,подобных украинским, именно такие ,как они и уничтожают свои страны, я вам всем ​желаю жить в 90 -х!!! а мы выбирали,выбираем и будем выбирать пути на,несмотря на вашу злобу! вас всего 2 % ненавистников путина,так что или смиритесь ,или застрелитесь !мы не исправимся,а вас 100 % исправим!"
16,чтобы он сдох тварь,вот бы он умер
17,а. лучше по ебалу лопатой,а. лучше по лицу лопатой
18,хозяина расстрелять!,хозяина убить!
19,"убила бы трамваем, простите 😫","убила бы трамваем, простите 😫"
20,"что сделал чтоо? то что 300 тисяч людей в тюрьму бросил, 500 человек пытками убиты и много много чего предателского, просто не знают люди, а мы в грузии ето все пережили, убийца и палач ето нигодяй, етот армянский пидор","что сделал чтоо? то что 300 тисяч людей в тюрьму бросил, 500 человек пытками убиты и много много чего предателского, просто не знают люди, а мы в грузии ето все пережили, убийца и палач ето нигодяй, етот армянин"
21,"два дебила , это сила .",у глупых людей мысли сходятся
22,он конченная тварь:),он плохой человек:)
23,попка просто сексуальная яб ее ух.,попа просто сексуальная.
24,пидарасы честное слово,плохие люди честное слово
25,Долбоебизм. Всегда дырки своей пидоросятиной лезут мужиков измазать.,Всегда геи своей гомосексуальностью лезут мужиков измазать.
26,да....чтоб ты сдох !!!!,да....чтобы вы умерли !!!!
27,"не иначе, как сволочами этих людей не назовешь.....недавно сами подобрали у дома брошенного котенка....дома уже их трое....поражаюсь людям и их бессердечности....(((","не иначе, как плохими людьми этих людей не назовешь.....недавно сами подобрали у дома брошенного котенка....дома уже их трое....поражаюсь людям и их бессердечности....((("
28,вся едросовская мразь,"все члены партии ""единая россия"""
29,конечно козлина такая.живет в германии сука.🥊,конечно.живет в германии.🥊
30,кострировать и изолировать.... тебя в обществе держать опасно,изолировать.... вас в обществе держать опасно
31,"урод, мразь продажная",продажный человек
32,слышь ты овен абасральный - ты случайно не педарас?,вы случайно не гей?
33,"он о стране думал,а путин о своём кармане,скоро съебнёт как гандон горбач","он о стране думал,а путин о своём кармане,скоро уедет как горбачев"
34,"а я за то, чтобы его запихнуть в газовую камеру. кто за?","а я за то, чтобы его убить. кто за?"
35,"ты сашка сам дебил или такой же ворюга как и пенсионный фонд, дебилоид!",вы александр или глупец или такой же мошенник как и пенсионный фонд!
36,"Мальчик сразу же ушел в глину по пояс Сука, эти журнашлюхи когда свое говно высирают на фото хоть смотрят?","Мальчик сразу же ушел в глину по пояс Эти журналисты хотя бы смотрят на фото, когда пишут свои статьи?"
37,от этой бляди тошнит уже!,она мне надоела!
38,"...сами своими руками....похоже вы ими только дрочить можете!...а путин вернул крым на родину,в россию!!!🇷🇺","...сами своими руками....похоже вы ими ничего не можете!...а путин вернул крым на родину,в россию!!!🇷🇺"
39,таких тупых там полно и держат их действительно для количества. чтобы не дай бог эту единую россию обошла бы другая более разумная партия.,таких глупцов там полно и держат их действительно для количества. чтобы не дай бог эту единую россию обошла бы другая более разумная партия.
40,тварь ебаная что сказать.,плохой человек что сказать.
41,"без разговора, виноват- к стенке. иначе никакими сроками эту мразь не испугаешь.","без разговора, виноват- к стенке. иначе никакими сроками его не испугаешь."
42,столько насосала?,столько?
43,"мне поебать на его финансы и кто он. Не пизди, шлюха. Выкладывай своё ебло, мы поржем.","мне нет дела до его финансов и того, кто он. Не лгите. Выкладывайте своё лицо, мы посмеёмся."
44,"слушай падла, сдрыстника ты со своего хненового места и иди пахать за 15 тыс. из которых заплатишь за ком,услуги, свет, газ и потом будеш сосать палец. видать зажралась на дармовых харчах, вот и не знаеш что мелеш.","предлагаю вам покинуть ваше место и идти работать за 15 тыс. из которых заплатите за ком,услуги, свет, газ и потом у вас ничего не останется. видимо, вы слишком привыкли к бесплатному комфорту, вот и не знаете что говорите."
45,"не поверишь, сколько ебанутых на планете","не поверишь, сколько сумасшедших на планете"
46,Да не влетел. Тьфу тьфу,Да не влетел.
47,пездун а дача на море в реликтовой роще в заповеднике ине только,а дача на море в реликтовой роще в заповеднике ине только
48,на одного долбаеба меньше,одним глупцом меньше
49,пиздюлей бы хороших отвесить хозяину такому !,ударить бы хозяина такого !
50,обторканый чувак!!!,человек в изменённом состоянии сознания!!!
51,какой мудак эту бредятина публикует?,кто публикует эту ерунду?
52,"в ебучие отсталые помойки А почему это ебучие отсталые помойки? Уж не потому ли, что нигеры - тупые животные?","в страны третьего мира А почему это страны третьего мира? Уж не потому ли, что афроамериканцы глупы и по уровню развития недалеко ушли от животных?"
53,"пидорасы те кто работает с треногами , а скорость соблюдать надо не вопрос","плохие люди те кто работает с треногами , а скорость соблюдать надо не вопрос"
54,очередной говноролик этого ютубера! ты что там куришь?,очередной некачественный ролик этого ютубера! почему вас такое интересует?
55,"Рашкован газа нанюхался, теперь всюду хохлы и либерахи мерещатся.","Россиянин сошел с ума, теперь всюду украинцы и либералы мерещатся."
56,"да бля простит эта гнида, он наобарот последнее отберет тварь конченная!!!!","да не простит он, он наобарот последнее отберет!!!!"
57,клоуны! допустим десяти людям из ста путин не нравится а за кого вы хотите проголосовать?! просто для интереса на какой стадии долбоебизма вы находитесь?!,клоуны! допустим десяти людям из ста путин не нравится а за кого вы хотите проголосовать?! просто для интереса вы сошли с ума?!
58,Модератор красава. Давно этого хотел. Отличный подарок на новый год.,Модератор молодец. Давно этого хотел. Отличный подарок на новый год.
59,"где вика,там тема в этой группе работает.смешно.сидят все и срутся,как и вся хруппа тупая.я думаю,что я здесь делаю? да просто от скуки иногда.","где вика,там тема в этой группе работает.смешно.сидят все и ругаются,как и вся бессмысленная хруппа.я думаю,что я здесь делаю? да просто от скуки иногда."
60,"ебал тебя и ее, я твою маму ебал ебаный клон гришы так и соси дальше у гришы",продолжайте дальше повторять за григорием
61,мало сука тебя били👎,мало вас били👎
62,люди выходили чтобы убрать вора януковичя такого бандита как путин,люди выходили чтобы убрать мошенника януковичя такого бандита как путин
63,ты сам такой! урод конченный!,сами вы такой!
64,"да и вискарь хуета. домашний сэм 2-3 перегонки, да на перепонках грецкого ореха или кофэ...... вот нахрена нам эти бл... гейропеские ценности, обычное раскрученное дерьмо.","да и виски плохой. домашний сэм 2-3 перегонки, да на перепонках грецкого ореха или кофэ...... вот зачем нам эти европеские ценности, обычная разрекламированная посредственность."
65,просто мразь и ничего святого!,плохой человек и ничего святого!
66,жечь их надо вместе с церквями.,уничтожить их надо вместе с церквями.
67,В налоговую иди и в рожу им кинь.,В налоговую идите и предъявите им в лицо.
68,"а ты, зю, дал растерзать страну. продажный жополиз.","а вы, зюганов, дали разрушить страну. продажный политик."
69,кто вяло жопу лижет тому ещё пенсвозраст подниму,кто недостаточно усердно одобряет действия власти тому ещё пенсвозраст подниму
70,в минфине сидят одни сказочники и пиздоболы у них соревнование кто больше сочинит тот получит побольше зарплату,в минфине сидят одни сказочники и лгуны у них соревнование кто больше сочинит тот получит побольше зарплату
71,"расстрел с контрольным в голову, всех последующих так же 😠","убить, всех последующих так же 😠"
72,детей-инвалидов уродами Ну а где она не права-то? Земля наша не резиновая.,детей-инвалидов некрасивыми Ну а где она не права-то? Земля наша не резиновая.
73,Нифига ты глазастый! И правда заточка осталась на асфальте.,А вы внимательный! И правда заточка осталась на асфальте.
74,расстрелять на хуй!,убить!
75,потаму что дурак!!!,потаму что глупый!!!
76,себался дырявый! дигрод.,ушёл!
77,надо было вьебать ей ракеткой в лоб,надо было ударить ей ракеткой по лбу
78,eff- ничего своего... и правда жид гребаный!!!,eff- ничего своего... и правда еврей!!!
79,вы пидоры поклонвн кадыру мрази,вы поклонвн кадырову
80,сука он жидовская,этот еврей плохой человек
81,👎👎👎завалил бы пидора собственными руками только самосуд,👎👎👎убил бы его собственными руками только самосуд
82,пидорас сука!!! такого убить мало.👹👹👹👹👹,такого убить мало.👹👹👹👹👹
83,россияне я пидор,россияне я плохой человек
84,смотрет натебя противна проститутка люди спасают человека ат ети как ты гандона пидораска,смотрет на вас противна люди спасают человека ат ети как вы
85,пиздюльгин и почаще😊,надо почаще бить😊
86,а ты блять хорошая рот закрой,а вы помолчите
87,"Я слышал, русские в банях в жопу друг друга ебут","Я слышал, русские в банях занимаются друг с другом анальным сексом"
88,уволить или разъебать???,уволить или уничтожить???
89,ну бля..... и опять в хакасии. как только доказано и сразу надо уничтожать.,ну вот..... и опять в хакасии. как только доказано и сразу надо уничтожать.
90,мало он расстрелял остались много тварий .,мало он убил остались много плохих людей .
91,можно подумать этого гада накажут 👎,можно подумать его накажут 👎
92,кут блять иди на хуй,кут отстаньте
93,Уточняю- ощущение такое что ты блеванул на клавиатуру.,Уточняю- ощущение такое что вас вырвало на клавиатуру.
94,эти твари нам пенсионерам только повышают цену на коммунальные услуги .охуели совсем клопы когда нажрутся,они нам пенсионерам только повышают цену на коммунальные услуги .совсем сошли с ума
95,"с большой ку-ку надо быть, что бы красивое лицо превратить в обезьянью морду. писец просто синяков не хватает от мужа, я бы отпиздил.","нужно быть сумасшедшей, что бы красивое лицо превратить в некрасивое. кошмар просто синяков не хватает от мужа, я бы избил."
96,ну ты и сволочь.,ну вы и плохой человек.
97,"шалавы кусок ..... больше сказать нечего .!!!!!!!!!!!! подстилка , готовая на всё абсолютно , где только вы её нашли ??? с мудаком ябкой они пара , так соедините и отпустите к херам.!!!!!!!!!","безнравственная ..... больше сказать нечего .!!!!!!!!!!!! женщина , готовая на всё абсолютно , где только вы её нашли ??? с ябкой они пара , так соедините и отпустите куда подальше.!!!!!!!!!"
98,старая блять.,старая проститутка.
99,её саму надо избить сильнее.,её саму надо избить сильнее.
100,кто нибудь пристрелите её.,кто нибудь убейте её.
101,его за яица надо так подвесить,его надо повесить
102,расстрелять упыря к хуям собачьим,убить его
103,"что тварь то тварь, на кол поскуду посадить","плохой человек, его надо убить"
104,Cчитать это порнографией все равно что считать картину васи ложкина великая Россия нацизмом,Cчитать это порнографией все равно что считать картину васи ложкина великая Россия нацизмом
105,ее надо не уволить а за язык повесить,ее надо не уволить а за язык повесить
106,ваш нацистских блядеи маму ибал,вы нацисты
107,"дринопсис, блять пока вспомнила название.","дринопсис, пока вспомнила название."
108,вот сволочь какая !,вот нехороший человек !
109,этих теперяшних ебутатов на какой небуть свинарник да ещё без транспортёр ухаживать за свиньями как они сами а не на стульях жопы протирать да хвастаться у кого калготки лучше да какие стринги,этих теперяшних депутатов на какой небуть свинарник да ещё без транспортёр ухаживать за свиньями как они сами а не на стульях сидеть да хвастаться у кого калготки лучше да какие стринги
110,какого хуя вы фашисты бандеровцы приперлись на донбасс и стали бомбить малят?????,почему вы фашисты украинцы пришли на донбасс и стали бомбить детей?????
111,страна ебанутых мракобесов а ещё на марс собираются дегенераты,страна невежд а ещё на марс собираются
112,расстрелять без суда. такие животные неиспровимы,казнить без суда. они неиспровимы
113,уроды ! бедный ребенок !,плохие люди ! бедный ребенок !
114,"Мое мнение , пусть мадишники глаза разуют ,что кроме таксистов есть еще бомбилы,есть водители маршруток и автобусов, поведение которых часто вызывает сомнение в их адекватности","Мое мнение , пусть мадишники обратят внимание на то ,что кроме таксистов есть еще таксисты-нелегалы,есть водители маршруток и автобусов, поведение которых часто вызывает сомнение в их адекватности"
115,"пидары... хотят вторую украину, которая последний хер без соли досасывает. радовались бы что батька сохранил белорусию, что есть работа, зарплата, и по жрать есть что, и не химию а натуральные продукты питания. там тоже бандиты и воры лезут к власти , как и в россии и украине пришли , и грабят народ и страны свои . белорусам этого не понять.","плохие люди... хотят вторую украину, которая живёт в нищете. радовались бы что лукашенко сохранил белорусию, что есть работа, зарплата, и поесть есть что, и не химию а натуральные продукты питания. там тоже бандиты и воры лезут к власти , как и в россии и украине пришли , и грабят народ и страны свои . белорусам этого не понять."
116,"не только пасть, но и рыло, морда, и даже харя!;-)","не только лицо, но и некрасивое лицо!;-)"
117,"себя особо умным не считаю. но когда очень многие более чем ебанько это пиздец. забыли жидовское правило ????? ,,хочешь уничтожить народ, уничтожь его детей,, хватит наверно свистеть красиво в путинскую жопу","себя особо умным не считаю. но когда очень многие сошли с ума это кошмар. забыли еврейское правило ????? ,,хочешь уничтожить народ, уничтожь его детей,, хватит наверно подыгрывать путину"
118,ну не только пинка а хорошую пиздюлину,ну не только пинка а хорошего пинка
119,"мама, как дура, в рваных джинсах.",мама в рваных джинсах.
120,повесить сссуку на площади принародно!!!!,повесить на площади принародно!!!!
121,я бы вдул,привлекательно
122,"ну уже то, что сразу сходу не зная человека, прийти самой к нему и отсосать, это уже о многом говорит... тоесть чувства собственного достоинства вообще нет. он протрезвев, конечно понял, что это конченная блядь и сделав ему она побежит и сделает всем, даже просить не нужно. на что тут можно надеяться, если только на то что он знакомым расскажет, что эта баба бегает сосет и уламывать не нужно.....","ну уже то, что сразу сходу не зная человека, прийти самой к нему и сделать минет, это уже о многом говорит... тоесть чувства собственного достоинства вообще нет. он протрезвев, конечно понял, что это женщина лёгкого поведения и сделав ему она побежит и сделает всем, даже просить не нужно. на что тут можно надеяться, если только на то что он знакомым расскажет, что эта баба бегает делает минет и уговаривать не нужно....."
123,какую суку убить мало,кого убить мало
124,только один дебилоид прифотошопил тупейшую надпись на фото ветерана.ебанько полнейшее,только один недалёкий человек прифотошопил глупую надпись на фото ветерана.
125,когда мать гладит животих снохи! воще ебанутый пошлопохабноебаный прикол!,когда мать гладит животих снохи!
126,а пидоргвардия бздит! их тут если что и похоронят!👎👎,а гвардия бдит! их тут если что и похоронят!👎👎
